,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
0,34223255,09/01/2016 12:00:00 AM,09/02/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Catch Basin/Sewer,10037.0,EAST 135 STREET,EAST 135 STREET,MADISON AVENUE,HARLEM RIVER DRIVE EXIT 21 NB,,,BLOCKFACE,NEW YORK,,,Closed,10/01/2016 04:23:55 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/02/2016 12:00:00 AM,Unspecified MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,,,,,,,,,,
1,34226273,09/01/2016 12:00:00 AM,01/24/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,,19,19,10 AVE,11 AVE,,,,,,,Closed,10/01/2016 02:25:00 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/24/2017 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,,,Unspecified,BROOKLYN,,,,,,,,,,
2,34213129,09/01/2016 12:00:00 AM,09/04/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11238.0,147 GREENE AVENUE,GREENE AVENUE,WAVERLY AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,,Closed,10/01/2016 01:17:58 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/04/2016 12:00:00 AM,02 BROOKLYN,BROOKLYN,993633.0,189453.0,Unspecified,BROOKLYN,,,,,,,,40.68667651821694,-73.96616742133907,"(40.68667651821694, -73.96616742133907)"
3,34214146,09/01/2016 12:00:00 AM,09/07/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11203.0,813 EAST   51 STREET,EAST   51 STREET,AVENUE D,FOSTER AVENUE,,,ADDRESS,BROOKLYN,,,Closed,10/01/2016 02:03:32 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/07/2016 12:00:00 AM,17 BROOKLYN,BROOKLYN,1004167.0,172906.0,Unspecified,BROOKLYN,,,,,,,,40.641241249401865,-73.92823353964022,"(40.641241249401865, -73.92823353964022)"
4,34216119,09/01/2016 12:00:00 AM,09/07/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11203.0,776 EAST   52 STREET,EAST   52 STREET,AVENUE D,FOSTER AVENUE,,,ADDRESS,BROOKLYN,,,Closed,10/01/2016 01:59:10 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/07/2016 12:00:00 AM,17 BROOKLYN,BROOKLYN,1004421.0,172914.0,Unspecified,BROOKLYN,,,,,,,,40.64126263285648,-73.92731828387933,"(40.64126263285648, -73.92731828387933)"
5,34219050,09/01/2016 12:00:00 AM,09/01/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10010.0,301 EAST 21ST STREET,EAST 21ST STREET,,,,,LATLONG,NEW YORK,,,Closed,10/01/2016 05:29:25 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status.  Please note your Service Request number for future reference.,09/01/2016 12:00:00 AM,Unspecified MANHATTAN,MANHATTAN,989400.0,207641.0,Unspecified,MANHATTAN,,,,,,,,40.7366017251434,-73.98141656935375,"(40.7366017251434, -73.98141656935375)"
6,34219075,09/01/2016 12:00:00 AM,09/06/2016 10:52:12 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Mixed Use Building,10303.0,147B UNION AVENUE,UNION AVENUE,NYCTA SUBWAY,LEYDEN AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,10/01/2016 02:48:41 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/06/2016 10:52:12 AM,01 STATEN ISLAND,STATEN ISLAND,940361.0,169935.0,Unspecified,STATEN ISLAND,,,,,,,,40.63300015323871,-74.15812474643954,"(40.63300015323871, -74.15812474643953)"
7,34219241,09/01/2016 12:00:00 AM,09/21/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,10310.0,1116 RICHMOND TERRACE,RICHMOND TERRACE,SNUG HARBOR ROAD,BARD AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,10/01/2016 10:50:28 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/21/2016 12:00:00 AM,01 STATEN ISLAND,STATEN ISLAND,954232.0,174351.0,Unspecified,STATEN ISLAND,,,,,,,,40.645178986259296,-74.10816955622462,"(40.6451789862593, -74.10816955622462)"
8,34219243,09/01/2016 12:00:00 AM,09/01/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11213.0,888 MONTGOMERY STREET,MONTGOMERY STREET,,,,,LATLONG,BROOKLYN,,,Closed,10/01/2016 10:25:14 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/01/2016 10:28:14 PM,Unspecified BROOKLYN,BROOKLYN,1002143.0,181379.0,Unspecified,BROOKLYN,,,,,,,,40.66450210099738,-73.93550408975055,"(40.66450210099738, -73.93550408975055)"
9,34219258,09/01/2016 12:00:00 AM,09/04/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11226.0,730 ROGERS AVENUE,ROGERS AVENUE,LENOX ROAD,LINDEN BOULEVARD,,,ADDRESS,BROOKLYN,,,Closed,10/01/2016 07:45:34 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/04/2016 12:00:00 AM,17 BROOKLYN,BROOKLYN,997356.0,177308.0,Unspecified,BROOKLYN,,,,,,,,40.65333648295221,-73.95276689797052,"(40.653336482952206, -73.95276689797052)"
